MID,fund_manager,fund_size_cr,fund_age_yr
1,Kaustubh Gupta,10,10
2,Lovelish Solanki,4288,10
3,Vinod Narayan Bhat,157,10
4,Atul Penkar,637,4
5,Mohit Sharma,6386,10
6,Dhaval Gala,2384,9
7,Kaustubh Gupta,7994,10
8,Vinod Narayan Bhat,15,10
9,Kaustubh Gupta,12120,10
10,Sunaina da Cunha,1032,8
11,Kunal Sangoi,3338,10
12,Dhaval Gala,850,10
13,Mohit Sharma,1795,10
14,Atul Penkar,4836,10
15,Mahesh Patil,7046,10
16,Dhaval Shah,451,8
17,Anil Shah,15449,10
18,Kaustubh Gupta,12364,10
19,Mahesh Patil,5633,10
20,Vinod Narayan Bhat,159,10
21,Vinod Narayan Bhat,14,10
22,Vinod Narayan Bhat,28,10
23,Mahesh Patil,21131,10
24,Vinod Narayan Bhat,261,10
25,Lovelish Solanki,278,10
26,Bhupesh Bameta,1351,10
27,Bhupesh Bameta,1496,10
28,Chanchal Khandelwal,3217,10
29,Mahesh Patil,562,10
30,Vinod Narayan Bhat,108,10
31,Vinod Narayan Bhat,90,10
32,Kaustubh Gupta,28071,10
33,Mohit Sharma,10035,10
34,Anil Shah,613,8
35,Sunaina da Cunha,1652,10
36,Anil Shah,3436,10
37,Mohit Sharma,13095,10
38,Lovelish Solanki,494,10
39,Kaustubh Gupta,13399,4
40,Kunal Sangoi,3798,10
41,Dhaval Shah,1585,10
42,Dhaval Shah,258,4
43,Dhaval Shah,91,4
44,Dhaval Shah,27,4
45,Dhaval Shah,26,4
46,Kaustubh Gupta,14457,10
47,Kaustubh Gupta,5045,10
48,Vishal Gajwani,2901,10
49,Atul Penkar,12755,10
50,R Sivakumar,161,3
51,Ashish Naik,3085,9
52,Anupam Tiwari,2077,6
53,Aditya Pagaria,13953,10
54,Shreyash Devalkar,33049,10
55,Ashish Naik,685,7
56,Devang Shah,3783,6
57,Devang Shah,620,9
58,R Sivakumar,1733,10
59,Ashish Naik,1699,5
60,R Sivakumar,978,8
61,Shreyash Devalkar,10077,5
62,Aditya Pagaria,416,2
63,Jinesh Gopani,15139,10
64,Devang Shah,110,4
65,Devang Shah,565,1
66,Devang Shah,133,10
67,Aditya Pagaria,290,10
68,Jinesh Gopani,8053,4
69,Devang Shah,27226,10
70,Jinesh Gopani,28754,10
71,Shreyash Devalkar,18920,10
72,Devang Shah,4002,4
73,Ashish Naik,953,3
74,Aditya Pagaria,12566,4
75,Devang Shah,407,10
76,Jinesh Gopani,270,3
77,Jinesh Gopani,81,3
78,Jinesh Gopani,633,3
79,Devang Shah,7096,10
80,Anupam Tiwari,11462,9
81,Devang Shah,1644,10
82,Devang Shah,4614,10
83,R Sivakumar,1478,10
84,Aditya Pagaria,4491,5
85,Sachin Relekar,16,10
86,Harshal Joshi,286,4
87,Alok Singh,12,5
88,Alok Singh,90,9
89,Alok Singh,63,10
90,Alok Singh,161,8
91,Nitin Gosar,204,10
92,Mithraem Bharucha,403,10
93,Nitin Gosar,87,10
94,Alok Singh,380,7
95,Dhruv Bhatia,51,5
96,Dhruv Bhatia,26,4
97,Mithraem Bharucha,82,3
98,Mithraem Bharucha,72,10
99,Dhruv Bhatia,414,4
100,Alok Singh,676,10
101,Mithraem Bharucha,118,10
102,Jitendra Sriram,772,6
103,Neeraj Saxena,354,6
104,Sanjay Chawla,3123,4
105,Prashant Pimple,40,2
106,Miten Vora,69,10
107,Pratish Krishnan,501,10
108,Mayank Prakash,17,10
109,Prashant Pimple,179,8
110,Mayank Prakash,115,10
111,Sanjay Chawla,651,10
112,Pratish Krishnan,250,4
113,Sanjay Chawla,299,5
114,Mayank Prakash,138,10
115,Shiv Chanani,880,5
116,Jitendra Sriram,1347,10
117,Vikram Pamnani,6686,10
118,Mayank Prakash,175,10
119,Mayank Prakash,37,9
120,Shiv Chanani,1192,10
121,Vikram Pamnani,111,4
122,Sanjay Chawla,1628,10
123,Vikram Pamnani,423,4
124,Prashant Pimple,235,10
125,Vikram Pamnani,560,5
126,Dhawal Dalal,3912,3
127,Shridatta Bhandwaldar,8672,10
128,Avnish Jain,1069,10
129,Shridatta Bhandwaldar,935,10
130,Avnish Jain,191,9
131,Kunal Jain,116,10
132,Shridatta Bhandwaldar,15261,10
133,Shridatta Bhandwaldar,8235,10
134,Vishal Mishra,4685,10
135,Shridatta Bhandwaldar,8630,10
136,Kunal Jain,80,10
137,Avnish Jain,125,10
138,Shridatta Bhandwaldar,247,10
139,Kunal Jain,2548,10
140,Suman Prasad,216,4
141,Kunal Jain,1003,10
142,Suman Prasad,520,10
143,Shridatta Bhandwaldar,4831,4
144,Suman Prasad,565,10
145,Kedar Karnik,1238,5
146,Vikram Chopra,2463,10
147,Vivek Ramakrishnan,333,10
148,Vivek Ramakrishnan,2065,5
149,Laukik Bagwe,210,10
150,Atul Bhole,3770,9
151,Atul Bhole,7358,10
152,Rohit Singhania,7110,10
153,Kedar Karnik,535,7
154,Atul Bhole,7725,10
155,Kedar Karnik,983,2
