MID,returns_1yr,returns_3yr,returns_5yr
1,4,6.5,6.9
2,5.6,4.8,5.5
3,2,18.9,9.7
4,-0.7,17.1,
5,4.5,18.6,9.7
6,5.3,24.6,9.2
7,4.5,6.8,7.3
8,-10.3,29.4,9.3
9,4.9,7.1,7.4
10,8.7,9,7.2
11,-14.6,39.8,21.1
12,6.2,30.5,10
13,7.5,8,6
14,-9.9,22.3,7.9
15,-5.7,20.4,7.7
16,0.8,11.7,6.9
17,-2.1,25,10.4
18,5.8,6.4,6.8
19,-0.7,24,10.7
20,2.5,21.7,10.7
21,4.7,13.3,8.2
22,3.7,17.3,9.4
23,1.6,26.3,10.6
24,-5.7,18.8,8.3
25,11.8,12.1,13.2
26,3.6,6,8
27,3.5,7.1,7.7
28,4.6,25,13.3
29,13.5,35.6,9.2
30,0.9,17.7,10.4
31,-4.1,22.7,7.6
32,5.7,4.4,5.4
33,5.7,6.5,7
34,-2.9,21.7,6.8
35,22.1,14.5,8.6
36,-3.6,28,8.3
37,5.6,5.6,6.4
38,0.7,25.5,11.6
39,5.4,3.9,
40,3,29.8,4.3
41,3.6,13.9,7.6
42,0,17.9,
43,-0.1,15,
44,3,4.6,
45,2.9,4.6,
46,5.5,5.8,6.5
47,5.5,7.8,7.6
48,-2.3,31.6,5.4
49,-3,16.1,5.8
50,4.7,6.2,
51,5.6,4.9,5.6
52,1.2,12.4,8
53,4.5,6.4,7.2
54,-6.1,17.3,12.1
55,-6.5,17.8,10.1
56,4.9,7.5,7.3
57,5.4,7.4,6.8
58,3.4,6.5,7.7
59,-4.9,17.4,
60,1.4,12.7,8.8
61,-8.3,17.9,12.3
62,5.8,,
63,-14.7,14.8,8.9
64,11.2,14.5,14
65,11.2,14.5,14
66,4,5.9,7.9
67,14.5,12,13.7
68,-6.4,26.5,
69,5.7,4.3,5.4
70,-11.1,15.7,9.4
71,-2.5,25.2,15.8
72,5.6,5.4,
73,-1.7,25.1,
74,5.4,3.9,
75,1.8,10.9,7
76,-1.3,13.6,
77,-2.5,10.3,
78,-4.1,14,
79,4.9,6.9,7.4
80,3.4,34.5,19.4
81,5.2,7.4,7.4
82,5.3,5.9,6.6
83,-5.1,18.1,10.4
84,5.7,5.4,
85,1.3,12.7,6.9
86,4.4,6.2,
87,4.2,3.4,
88,13.6,12.1,5.1
89,22.3,15.5,6.4
90,130.8,12.8,-4.1
91,2.7,25.6,9.5
92,5.7,4.3,5.3
93,7.6,35.4,11.5
94,-0.3,29.3,10.4
95,-4.1,27.1,10.6
96,-4.7,26,
97,5.5,4,
98,28.3,8.8,4
99,-1,47.7,
100,0.9,29,13.2
101,5.2,4.7,5.7
102,3.5,20.6,13.3
103,5.2,4.6,5.6
104,3.7,19.8,
105,2.5,,
106,6.6,19.2,9.1
107,3.7,9.2,7.7
108,2.8,5.6,4.4
109,5.7,10.9,7.6
110,5.2,5.7,6.6
111,-2.4,20.4,10.5
112,3.7,9.8,
113,0.5,23.1,9.9
114,3.7,4.9,6.8
115,5.2,23.3,
116,3,23.5,12.8
117,5.7,4.4,5.4
118,5,6,6.5
119,3.9,5,3.5
120,2.4,30.6,13.6
121,5,4.1,
122,-1.7,28.8,12.3
123,5.4,3.9,
124,4.2,5.7,6.7
125,5.7,5.1,
126,2.6,,
127,1.7,24.3,14.4
128,3.8,11.4,9.4
129,7.1,26.7,15.1
130,4,6,6.7
131,4.7,5.3,6.6
132,-0.2,27,12.6
133,1.8,20.1,12.2
134,1.2,27.7,15.5
135,-0.9,24.8,13.8
136,4.3,5.1,7
137,3.9,5.8,7
138,13.7,34.9,12.2
139,5.6,4.1,5.1
140,5.3,3.9,
141,5,5.2,5.9
142,4.1,5.9,6.5
143,-0.6,51.8,
144,5.2,4.5,5.3
145,5.6,4.6,5.4
146,4,6.4,6.9
147,3.8,6.1,4.9
148,2.6,5.6,
149,10.8,6.6,4.5
150,1.7,12.2,8.3
151,0.6,18.7,10.7
152,3.2,31.6,11.7
153,4,14.6,7.8
154,-0.1,22.8,12
155,4.4,,
156,-1.7,20.4,8.9
157,0.6,12.6,7.9
158,4.4,5.9,8.6
159,-3.6,26.9,
160,15.8,36.4,11.9
161,5.6,4.3,5.3
162,5.1,5.5,6.3
163,-3.9,21.1,9.5
164,-0.7,44.3,12
165,2.2,30.9,10.7
166,0.9,25.8,
167,-6.3,21.8,
168,5.4,3.9,
169,3,10.8,6
170,5,5.3,5.9
171,4.1,6.1,6.7
172,0.7,38.9,12.5
173,3,5.4,7.3
174,1.8,28.8,13.3
175,3.6,21.8,8.9
176,5.5,4.9,5.5
177,2.2,23.8,13.6
178,-9,14.8,10.2
179,-5.4,37.1,15
180,6.5,24.6,13
181,5.8,5,5.7
182,2.9,18.5,12
183,3.5,6.9,7.9
184,4.4,12.1,9
185,9.2,25.2,7.6
186,1.9,27.5,12.1
187,4.3,6.8,8.2
188,-4.1,9,6.1
189,1.2,27.8,13.2
190,4.9,26,12.8
191,5.6,4.4,5.4
192,0.9,25.6,10.2
193,4.9,35.5,14
194,4.9,4.7,7.3
195,5.3,3.9,
196,-13.8,24.3,10.9
197,3,42.5,
198,2,23.8,11.5
199,16,36.1,13.3
200,4.2,6.1,7.2
201,-1,25.1,9.7
202,4.4,6.3,7
203,5.1,9.8,7
204,5.9,18.2,9.2
205,-0.9,27.7,9.2
206,5.3,22.5,11
207,4.8,14,
208,-12.1,17.4,11.6
209,3.8,31.1,12
210,5.8,5.6,6.2
211,5.1,30.9,12.9
212,3.5,4.1,6.3
213,5.6,4.3,5.4
214,4.1,8.7,5.3
215,0.9,25.6,11.6
216,7.9,31,11.5
217,5.3,3.8,
218,4.5,26.6,10
219,5.3,5.2,6.1
220,10.5,38.8,11.2
221,4.9,29.3,11.4
222,-11.9,29.9,15.9
223,5.6,4.5,5.2
224,14.4,29.3,12.9
225,4.3,6.8,7.2
226,-0.7,33.7,11.3
227,10.5,26.8,12.9
228,4.1,6.9,7.3
229,4.6,8,7.7
230,4.6,7.3,6.1
231,8.6,21.9,11.1
232,5.1,16,8.8
233,12.4,34.5,14
234,5.6,6.5,6.9
235,16,35.8,11.9
236,3.6,4.9,6.4
237,14.2,12.3,13.4
238,9.8,27.1,7.9
239,6,13.3,8.4
240,7.7,25.6,11.3
241,3.8,5.2,6.1
242,2.4,25.8,12.8
