MID,sortino,alpha,sd,beta,sharpe,risk_level
1,0.32,2.24,9.39,0.01,0.24,3
2,1.33,1.53,0.72,0.56,1.1,1
3,3.44,2.67,10.58,0.67,1.42,5
4,2.18,-6.37,14.99,0.85,0.9,6
5,3.69,1.99,10.38,0.68,1.39,6
6,2.07,1.24,25.53,0.96,0.97,6
7,1.92,4.46,1.91,1.78,1.09,3
8,1.42,-,20.18,-,1.06,6
9,2.28,2.38,1.93,0.78,1.35,2
10,1.82,3.01,2.9,-0.95,1.47,4
11,2.42,9.37,21.12,0.83,1.53,6
12,3.78,5.04,15.77,0.85,1.58,6
13,1.78,3.02,3.22,0.91,1.02,3
14,2.21,-2.06,17.61,0.98,1.16,6
15,2.54,1.43,12.84,0.85,1.33,6
16,2.55,1.11,6.83,0.99,1.2,4
17,3.4,-1.46,16.6,0.96,1.27,6
18,2.81,3.73,1.14,1.37,1.66,2
19,3.24,-1.14,16.09,0.95,1.26,6
20,3.13,1.65,11.73,0.8,1.4,6
21,3.82,1.94,5.49,0.36,1.57,4
22,3.09,1.69,8.56,0.58,1.44,5
23,3.36,0.76,16.02,0.95,1.39,6
24,0.98,-,16.64,-,0.7,6
25,1.07,-0.57,13.89,0.97,0.45,5
26,0.71,1.09,3.35,0.73,0.57,3
27,0.88,1.69,3.29,1.51,0.64,3
28,3.73,3.33,14.93,0.79,1.43,6
29,3.3,4.38,22.52,0.85,1.4,6
30,1.28,-,13.99,-,0.81,6
31,2.45,-1.93,16.3,0.87,1.14,6
32,5.28,1.49,0.39,0.8,1.06,3
33,4.76,3.33,0.97,1,2.05,3
34,2.43,-1.7,15.05,0.83,1.18,6
35,2.29,9.65,10.73,1.12,0.93,4
36,3.11,-0.81,16.52,0.89,1.54,6
37,4.58,3.06,0.68,1.31,1.94,3
38,3.42,-0.87,16.65,0.99,1.29,6
39,0.11,0.58,0.35,0.43,0.02,1
40,2.31,3.41,18.83,0.99,1.36,6
41,3.88,5.71,4.8,0.6,2.08,4
42,2.41,-5.61,14.94,0.84,0.94,6
43,2.34,-3.14,11.86,0.77,0.93,6
44,0.29,-2.04,2.99,0.34,0.13,4
45,0.22,0.09,2.19,1.09,0.18,3
46,4.23,2.64,0.76,0.86,1.96,3
47,3.7,4.91,2.05,1.27,1.57,3
48,3.11,-0.73,19.36,0.89,1.51,6
49,1.94,-7.68,15.31,0.87,0.83,6
50,1.77,1.88,2.06,0.8,1.02,4
51,1.47,1.41,0.68,0.44,1.21,1
52,2.26,-1.23,8.09,0.53,1.05,6
53,2.78,3.83,1.5,1.62,1.11,3
54,1.81,-5.97,15.76,0.89,0.9,6
55,2.34,-1.6,12.97,0.86,1.1,6
56,2.88,2.46,2.06,0.67,1.28,3
57,1.97,3.22,1.62,0.26,1.77,4
58,0.61,1.2,3.83,1.84,0.45,3
59,2.37,-1.88,13,0.87,1.09,6
60,2.39,0.66,7.52,1.16,1.19,4
61,1.77,-5.98,16.19,0.89,0.92,6
62,-,-,-,-,-,2
63,1.44,-10.67,18.84,1.04,0.74,6
64,7.27,5.29,-,2.36,2.19,2
65,-,-,-,-,-,3
66,1.15,1.09,2.87,0.56,0.6,3
67,1.07,-0.04,13.9,0.97,0.49,5
68,2.64,1.19,17.3,0.91,1.28,6
69,4.54,1.41,0.38,0.78,0.96,2
70,1.45,-9.98,18.65,1.02,0.75,6
71,2.98,-2.25,15.37,0.81,1.4,6
72,4.81,2.81,0.62,1.22,1.91,2
73,2.93,-1.76,16.66,0.99,1.24,6
74,0.49,0.62,0.35,0.44,0.09,1
75,2.42,1.34,4.69,0.71,1.37,4
76,1.58,-4.95,13.43,0.85,0.79,6
77,1.84,-0.04,5.69,0.83,1.04,5
78,1.56,-4.49,13.03,0.78,0.76,6
79,2.78,4.6,1.61,1.78,1.38,3
80,3.9,8.34,14.71,0.66,2.06,6
81,2.27,2.56,1.89,0.7,1.46,4
82,3.73,3.09,0.87,1.17,1.75,2
83,2.35,-2.21,13.44,0.91,1.08,6
84,4.47,2.29,0.53,0.81,2.25,3
85,2.27,0.73,6.59,0.43,1.31,5
86,0.9,9.78,3.98,5.4,0.64,3
87,-1.14,0.24,0.6,0.52,-0.78,1
88,1.81,-1.05,11.04,0.54,0.81,6
89,4.71,6.44,11.85,0.64,0.93,3
90,0.91,-13.36,77.72,-31.86,0.38,4
91,2.66,1.7,15.55,0.88,1.4,6
92,4.06,1.38,0.38,0.76,0.92,2
93,3.23,12.2,16.3,0.54,1.8,6
94,2.56,10.87,15.51,0.75,1.59,6
95,2.64,3.13,17.03,0.87,1.38,6
96,2.65,2.58,16.94,0.87,1.36,6
97,1.92,0.76,0.34,0.47,0.39,1
98,0.76,3.58,11.44,-0.99,0.43,2
99,4.16,8.58,18.44,0.81,1.93,6
100,2.88,3.48,16.3,0.89,1.5,6
101,2.16,2.06,0.52,1.12,1.07,3
102,2.79,1.88,11.77,0.79,1.39,6
103,0.99,1.39,0.71,0.59,0.85,1
104,3.41,2.61,10.57,0.7,1.46,6
105,-,-,-,-,-,2
106,1.77,-2.87,22.87,0.89,0.82,6
107,2.74,0.64,3.7,0.58,1.29,4
108,0.63,0.69,2.22,0.9,0.43,2
109,1.9,1.72,5.8,-3.29,1.06,4
110,0.56,0.91,2.65,1.36,0.49,3
111,2.92,-0.94,14.42,0.83,1.29,6
112,2.42,0.25,4.91,0.73,1.12,4
113,2.96,-1.21,14.73,0.85,1.27,6
114,0.34,0.07,2.89,0.66,0.28,3
115,3.08,2.41,13.62,0.71,1.38,6
116,2.71,-0.18,14.57,0.86,1.32,6
117,4.11,1.32,0.38,0.72,0.93,2
118,2.55,3.17,0.96,1.28,1.51,3
119,0.42,0.42,2.34,1.16,0.32,3
120,3.35,1.31,15.92,0.86,1.67,6
121,0.91,1.72,0.46,1.15,0.38,2
122,3.05,2.11,16.27,0.9,1.44,6
123,0.32,0.62,0.34,0.45,0.05,1
124,1.23,3.6,1.75,1.55,0.88,3
125,3.14,2.59,0.53,1.24,1.77,2
126,-,-,-,-,-,2
127,3.07,0.16,14.97,0.89,1.35,6
128,3.41,2.59,3.98,0.6,1.74,4
129,3.47,4.63,14.66,0.74,1.48,6
130,1.35,1.33,1.81,0.77,0.85,2
131,0.64,0.74,2.17,1.02,0.47,3
132,3.36,2.48,15.69,0.89,1.47,6
133,3.25,1.49,11.27,0.78,1.4,6
134,3.08,2.7,15.37,0.87,1.51,6
135,2.84,0.32,14.9,0.87,1.39,6
136,0.55,0.47,2.52,0.55,0.43,3
137,0.69,0.87,2.74,1.32,0.45,3
138,3.99,10.9,16.53,0.59,1.8,6
139,3.04,1.07,0.39,0.66,0.47,2
140,0.03,0.61,0.34,0.45,0,1
141,2.24,2.64,0.77,1.33,1.12,2
142,1.68,3.98,1.59,1.95,0.87,2
143,4.62,12.23,17.75,0.79,2.17,6
144,2.11,1.82,0.51,1.04,0.84,2
145,1.08,1.45,0.72,0.64,0.82,1
146,1.59,4.78,1.87,2.4,0.84,2
