MID,scheme_name,min_sip,min_lumpsum,expense_ratio,amc_name,rating,category,sub_category
1,Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic
2,Aditya Birla SL Arbitrage Fund,1000,1000,0.36,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds
3,Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic
4,Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds
5,Aditya Birla SL Balanced Advantage Fund,100,100,0.61,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage
6,Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds
7,Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds
8,Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds
9,Aditya Birla SL Corporate Bond Fund,100,100,0.31,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds
10,Aditya Birla SL Credit Risk Fund,100,100,0.69,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds
11,Aditya Birla SL Digital India Fund,100,1000,0.88,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds
12,Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds
13,Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond
14,Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds
15,Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds
16,Aditya Birla SL Equity Savings Fund,1000,1000,1.21,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds
17,Aditya Birla SL Flexi Cap Fund,100,100,0.86,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds
18,Aditya Birla SL Floating Rate Fund,1000,1000,0.23,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds
19,Aditya Birla SL Focused Equity Fund,1000,1000,1.06,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds
20,Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic
21,Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic
22,Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic
23,Aditya Birla SL Frontline Equity Fund,100,100,1.03,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds
24,Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas
25,Aditya Birla SL Gold Fund,100,100,0.15,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic
26,Aditya Birla SL Govt Securities Fund,1000,1000,0.29,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds
27,Aditya Birla SL Income Fund,1000,5000,0.49,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds
28,Aditya Birla SL India GenNext Fund,1000,1000,0.82,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds
29,Aditya Birla SL Infrastructure Fund,1000,1000,1.7,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds
30,Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds
31,Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds
32,Aditya Birla SL Liquid Fund,500,500,0.21,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds
33,Aditya Birla SL Low Duration Fund,100,100,0.39,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds
34,Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds
35,Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds
36,Aditya Birla SL Midcap Fund,1000,1000,1.2,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds
37,Aditya Birla SL Money Manager Fund,1000,1000,0.21,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds
38,Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds
39,Aditya Birla SL Overnight Fund,0,5000,0.07,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds
40,Aditya Birla SL Pure Value Fund,1000,1000,1.12,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds
41,Aditya Birla SL Regular Savings Fund,500,500,0.92,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds
42,Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds
43,Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds
44,Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds
45,Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds
46,Aditya Birla SL Savings Fund,1000,1000,0.34,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds
47,Aditya Birla SL Short Term Fund,1000,1000,0.38,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds
48,Aditya Birla SL Small Cap Fund,1000,1000,1.04,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds
49,Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds
50,AXIS All Seasons Debt Fund,1000,5000,0.22,Axis Mutual Fund,4,Other,FoFs Domestic
51,AXIS Arbitrage Fund,1000,500,0.31,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds
52,AXIS Balanced Advantage Fund,1000,500,0.7,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage
53,AXIS Banking & PSU Debt Fund,1000,5000,0.33,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds
54,AXIS Bluechip Fund,500,500,0.63,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds
